"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.627078120E-1,2.001440227E-1,1.256440729E-1,9.877516747E0,9.880343169E0
3.676732810E-1,2.049350291E-1,1.088755652E-1,9.903867722E0,9.906586097E0
3.727104160E-1,1.833755225E-1,9.929358214E-2,9.901472092E0,9.903667774E0
3.777475000E-1,2.097260207E-1,1.352260560E-1,9.889494896E0,9.892642740E0
3.827845830E-1,2.121215165E-1,1.280395836E-1,9.884703636E0,9.887808435E0
3.878216660E-1,2.408675253E-1,9.929358214E-2,9.896680832E0,9.900109488E0
3.928588020E-1,2.001440227E-1,7.533853501E-2,9.896680832E0,9.898991111E0
3.978896350E-1,2.408675253E-1,8.971153945E-2,9.903867722E0,9.907202490E0
4.029267180E-1,2.264945209E-1,5.377905443E-2,9.923031807E0,9.925762046E0
4.079638540E-1,2.049350291E-1,5.617456511E-2,9.891890526E0,9.894172635E0
4.130009370E-1,2.193080187E-1,8.731608838E-2,9.903867722E0,9.906680370E0
4.180380730E-1,2.097260207E-1,4.898803309E-2,9.877516747E0,9.879864468E0
4.230751560E-1,2.264945209E-1,4.419707134E-2,9.906263351E0,9.908950839E0
4.281399480E-1,2.264945209E-1,5.617456511E-2,9.908658981E0,9.911406467E0
4.331770830E-1,2.145170271E-1,6.336104125E-2,9.901472092E0,9.903998271E0
4.382141660E-1,2.121215165E-1,6.336104125E-2,9.894286156E0,9.896762536E0
4.432513020E-1,1.809800267E-1,4.419707134E-2,9.937404633E0,9.939150768E0
4.482883330E-1,2.121215165E-1,7.294308394E-2,9.887099266E0,9.889643478E0
4.533254680E-1,2.097260207E-1,4.898803309E-2,9.875122070E0,9.877470361E0
4.583239580E-1,1.690025181E-1,6.336104125E-2,9.894286156E0,9.895932245E0
4.633610410E-1,1.761890203E-1,7.773404568E-2,9.901472092E0,9.903344624E0
4.683981770E-1,1.881665289E-1,7.054757327E-2,9.903867722E0,9.905906291E0
4.734352600E-1,1.977485269E-1,9.689807147E-2,9.887099266E0,9.889551335E0
4.784723430E-1,1.929575205E-1,1.088755652E-1,9.875122070E0,9.877607119E0
4.835094270E-1,2.049350291E-1,1.256440729E-1,9.913449287E0,9.916363324E0
4.885652600E-1,2.193080187E-1,1.160620376E-1,9.884703636E0,9.887817372E0
4.936023950E-1,2.073305249E-1,1.088755652E-1,9.906263351E0,9.909030902E0
4.986394790E-1,2.217035294E-1,1.040845439E-1,9.899076462E0,9.902105879E0
5.036765620E-1,2.025395185E-1,1.280395836E-1,9.918240547E0,9.921134610E0
5.087136450E-1,2.025395185E-1,1.208530590E-1,9.911054611E0,9.913860561E0
5.137507810E-1,2.049350291E-1,9.210705012E-2,9.927823067E0,9.930365196E0
5.187883330E-1,2.001440227E-1,1.064800546E-1,9.920636177E0,9.923226178E0
5.238254680E-1,2.169125229E-1,1.040845439E-1,9.906263351E0,9.909184539E0
5.288625520E-1,2.097260207E-1,4.419707134E-2,9.891890526E0,9.894212276E0
5.338996870E-1,2.193080187E-1,5.617456511E-2,9.911054611E0,9.913639851E0
5.389367180E-1,2.312855273E-1,5.617456511E-2,9.918240547E0,9.921095914E0
5.439738540E-1,2.217035294E-1,6.096558645E-2,9.920636177E0,9.923300430E0
5.490097390E-1,1.977485269E-1,3.701053932E-2,9.899076462E0,9.901120596E0
5.540468230E-1,2.264945209E-1,4.659258202E-2,9.887099266E0,9.889802957E0
5.590839060E-1,2.025395185E-1,2.982406877E-2,9.882308006E0,9.884428323E0
5.641209890E-1,1.713980287E-1,5.857007578E-2,9.872726440E0,9.874387834E0
5.691580730E-1,1.929575205E-1,4.419707134E-2,9.896680832E0,9.898660388E0
5.741952080E-1,2.097260207E-1,5.617456511E-2,9.865539551E0,9.867928416E0
5.792385930E-1,1.929575205E-1,5.138354376E-2,9.911054611E0,9.913065942E0
5.842757290E-1,1.809800267E-1,8.252506703E-2,9.889494896E0,9.891495006E0
5.893128120E-1,2.049350291E-1,1.040845439E-1,9.915844917E0,9.918508577E0
5.943499480E-1,1.809800267E-1,1.160620376E-1,9.908658981E0,9.910991221E0
5.993869790E-1,2.073305249E-1,1.232485697E-1,9.877516747E0,9.880461185E0
6.044241140E-1,2.240990251E-1,1.064800546E-1,9.908658981E0,9.911764787E0
6.094472390E-1,2.217035294E-1,1.304350346E-1,9.884703636E0,9.888049946E0
