"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.943625000E-1,-1.511661336E-2,5.643166602E-2,1.276691407E-1,1.404010485E-1
6.044357810E-1,-6.983932690E-4,6.467171013E-2,1.721555591E-1,1.839033832E-1
6.145091140E-1,1.337758824E-2,6.553379446E-2,1.711089462E-1,1.837169278E-1
6.245639060E-1,1.157024689E-2,7.051505893E-2,1.378445029E-1,1.552654216E-1
6.346372390E-1,-2.987560816E-2,4.285620898E-2,7.024987042E-2,8.754570752E-2
6.447105730E-1,-2.686352236E-3,4.415806010E-2,6.867701560E-2,8.169261431E-2
6.547582810E-1,7.881274074E-2,7.063560188E-2,2.873873338E-2,1.096665453E-1
6.648316140E-1,5.732852593E-2,6.659122556E-2,6.417790893E-3,8.810300362E-2
6.749049480E-1,-2.486263961E-2,2.471098676E-2,-5.967215169E-3,3.555828134E-2
6.849718230E-1,2.072350821E-3,5.017681792E-2,2.342452109E-2,5.541404049E-2
6.950451560E-1,4.239329696E-2,6.269815564E-2,1.113927271E-2,7.650054735E-2
7.051184890E-1,2.488412336E-2,4.318790883E-2,-3.617821634E-2,6.158959654E-2
7.153061980E-1,-2.998305112E-2,4.196586832E-2,-3.469347954E-2,6.215911020E-2
7.253795310E-1,-4.990260676E-2,6.336986274E-2,-2.762476541E-2,8.525923603E-2
7.354528640E-1,-2.150456049E-2,6.294838339E-2,-1.349606458E-2,6.787553943E-2
7.454165100E-1,-3.019388020E-2,4.811680317E-2,1.520359609E-2,5.880515694E-2
7.554898960E-1,-2.896287665E-2,6.234567612E-2,5.532310158E-2,8.824101724E-2
7.655632290E-1,-1.330868714E-2,6.555291265E-2,9.227361530E-2,1.139680902E-1
7.757277080E-1,1.376775652E-2,5.264001340E-2,1.458958387E-1,1.557116498E-1
7.858009890E-1,1.181311533E-2,5.889902636E-2,1.382950842E-1,1.507785639E-1
7.958743230E-1,-2.514210530E-3,4.559374973E-2,1.242956519E-1,1.324179759E-1
8.058360410E-1,2.154726908E-2,4.467680305E-2,3.007341921E-2,5.800613829E-2
8.159094270E-1,2.129008062E-2,7.144780457E-2,4.426696151E-2,8.670421093E-2
8.259827080E-1,-4.852590617E-3,5.825391784E-2,5.736523867E-2,8.190138697E-2
8.360629680E-1,-3.792267526E-3,4.450305551E-2,5.752069503E-2,7.282536371E-2
8.461363020E-1,-2.373632975E-3,8.372639865E-2,4.588512331E-2,9.550491351E-2
8.562096350E-1,-1.387544558E-3,8.363329619E-2,5.961603671E-2,1.027157502E-1
8.663020830E-1,-1.291384269E-2,5.627704412E-2,4.613119364E-2,7.390507462E-2
8.763754680E-1,-1.319441292E-2,5.582313985E-2,8.754298836E-2,1.046617900E-1
8.864488020E-1,-3.242992389E-4,6.913257390E-2,6.068303436E-2,9.198830689E-2
8.964997390E-1,2.615300938E-2,6.852570921E-2,2.056145482E-2,7.617431422E-2
9.065731250E-1,3.442498296E-2,6.848829985E-2,6.148318201E-2,9.826448157E-2
9.166464060E-1,4.698851332E-2,6.811088324E-2,4.832588136E-2,9.582485903E-2
9.267155730E-1,5.407048389E-3,3.892656043E-2,9.829112329E-3,4.051079768E-2
9.367889060E-1,-2.199351415E-2,5.209051445E-2,-3.236744553E-3,5.663579147E-2
9.468622390E-1,-7.579092868E-3,5.338986591E-2,6.328298897E-2,8.314239065E-2
9.569642710E-1,4.678510129E-2,6.710997224E-2,4.954210296E-2,9.564002323E-2
9.670376040E-1,5.394481122E-3,7.458769530E-2,-2.470225841E-2,7.875675392E-2
9.771109370E-1,-2.153203264E-2,8.768597245E-2,-5.130741000E-2,1.038504141E-1
9.871729160E-1,-4.307802022E-2,9.863279760E-2,3.365682438E-2,1.127693505E-1
9.972462500E-1,2.522712760E-2,5.828384683E-2,1.283720285E-1,1.432228769E-1
1.007319531E0,4.616813734E-2,2.713844366E-2,1.574241668E-1,1.662839749E-1
1.017416146E0,1.925419085E-2,2.790076286E-2,1.701184064E-1,1.734631045E-1
1.027489427E0,-1.769493893E-2,3.117200732E-2,8.441182226E-2,9.170692799E-2
1.037562760E0,-8.437570184E-2,4.417967051E-2,-2.381233126E-2,9.817397551E-2
1.047594375E0,-5.040277913E-2,6.571584940E-2,-1.689366996E-2,8.452460643E-2
1.057667656E0,-3.767178208E-2,5.103057995E-2,-2.921840549E-2,6.983551012E-2
1.067740937E0,-2.275233157E-2,3.531697020E-2,5.686228978E-4,4.201523900E-2
1.077822500E0,3.033555672E-2,4.912935197E-2,2.757904306E-2,6.398861495E-2
1.087895833E0,6.186149269E-2,7.736762613E-2,6.724879891E-2,1.197288387E-1
1.097969114E0,4.755754769E-2,7.835607231E-2,1.069081724E-1,1.408217019E-1
1.108085833E0,6.719008088E-3,6.929717958E-2,1.149819493E-1,1.344176061E-1
1.118159114E0,-1.968348213E-2,8.350858837E-2,1.415031403E-1,1.654819100E-1
1.128232448E0,-1.685790345E-2,8.821469545E-2,1.494027525E-1,1.743192584E-1
1.138273593E0,-1.615150832E-2,8.762694895E-2,4.114951193E-2,9.814599195E-2
1.148346927E0,-1.426642574E-2,6.692708284E-2,-3.197672591E-2,7.553327955E-2
1.158420260E0,1.210450009E-2,6.531099975E-2,-7.087127864E-2,9.713281499E-2
1.168502500E0,5.731420219E-2,4.545325413E-2,-4.962648079E-2,8.839515642E-2
1.178575833E0,9.629162401E-2,1.794653758E-2,4.604848102E-2,1.082340874E-1
1.188649114E0,3.657554835E-2,1.241410244E-2,1.179476902E-1,1.241109918E-1
1.198703229E0,2.282660455E-2,1.662640134E-4,1.162783951E-1,1.184978762E-1
1.208776510E0,2.080474421E-2,1.944873296E-2,9.579591453E-2,9.993972101E-2
1.218849791E0,-3.289280087E-2,4.686899483E-2,5.471207947E-2,7.919627936E-2
1.228949843E0,-4.018336162E-2,5.762710422E-2,1.729478128E-2,7.235119316E-2
1.239023177E0,-6.649203598E-2,8.364908397E-2,-2.209025249E-2,1.091161737E-1
1.249096458E0,-4.644516110E-2,7.513637096E-2,-5.261881649E-2,1.028171536E-1
1.259148489E0,8.150794543E-3,7.415623963E-2,-3.780718893E-2,8.363591849E-2
1.269221771E0,1.868077368E-2,9.852971137E-2,3.380022570E-2,1.058278346E-1
1.279295104E0,-9.141519666E-3,9.883148223E-2,6.067555770E-2,1.163303596E-1
1.289382916E0,-7.674662396E-3,7.471571863E-2,9.772375226E-2,1.232528734E-1
1.299456198E0,-7.249714807E-3,7.560855895E-2,1.238737553E-1,1.453062965E-1
1.309529531E0,1.769001037E-2,6.653137505E-2,1.183533743E-1,1.369192519E-1
1.319609271E0,-2.319850586E-2,2.605772577E-2,1.315027773E-1,1.360520349E-1
1.329682604E0,-4.406907782E-2,5.429185182E-2,6.217442453E-2,9.357001581E-2
1.339755885E0,1.100326050E-2,4.033897445E-2,4.895560443E-2,6.438133120E-2
1.349795208E0,-2.305828501E-3,6.682815403E-2,4.986756295E-2,8.341518357E-2
1.359868489E0,2.507193573E-2,6.644158810E-2,9.478295222E-3,7.164443224E-2
1.369941823E0,4.600388557E-2,3.694885224E-2,-1.385810552E-3,5.902114570E-2
1.380099323E0,1.823799871E-2,3.665954992E-2,3.983145207E-2,5.712347829E-2
1.390172604E0,3.906873055E-3,5.010199919E-2,4.005008936E-2,6.426105849E-2
1.400245937E0,3.571941983E-3,4.990497231E-2,5.391068757E-2,7.355016836E-2
1.410267968E0,1.486998331E-2,4.967636243E-2,4.057922214E-2,6.584474662E-2
1.420341302E0,-1.262614690E-2,4.927898943E-2,2.744395100E-2,5.780146046E-2
1.430414583E0,-1.086381357E-2,7.334320992E-2,1.768550277E-2,7.622352586E-2
1.440488906E0,3.271205351E-3,8.649967611E-2,1.824664325E-2,8.846374817E-2
1.450562239E0,-3.244224563E-2,5.575414002E-2,-4.736445844E-3,6.467965175E-2
1.460635521E0,-1.750204712E-2,5.558870733E-2,3.632328287E-2,6.867173301E-2
1.470682552E0,-1.464665774E-2,5.685148016E-2,6.201689318E-2,8.539736775E-2
1.480755885E0,-1.370674651E-2,5.720562488E-2,7.520120591E-2,9.547554550E-2
1.490829166E0,-1.200461853E-2,5.904533714E-2,7.295539975E-2,9.462004575E-2
1.500901093E0,-1.247632783E-2,4.551893100E-2,7.284317166E-2,8.679723206E-2
1.510974375E0,2.387366630E-2,6.202478707E-2,9.657735378E-2,1.172357088E-1
1.521047656E0,8.562297560E-3,6.170389801E-2,5.611160770E-2,8.384030348E-2
1.531155781E0,7.012438029E-3,5.899795145E-2,1.855340041E-2,6.224276045E-2
1.541229062E0,4.750464857E-2,5.832541361E-2,5.753981415E-3,7.544305012E-2
1.551302396E0,1.769497804E-2,5.171143264E-2,-5.426524580E-2,7.701883805E-2
1.561355677E0,4.297041334E-3,3.797636181E-2,-2.688530646E-2,4.672781104E-2
1.571429010E0,4.537279718E-3,6.356855482E-2,1.598960906E-2,6.570552235E-2
1.581502343E0,1.898998581E-2,5.084270239E-2,4.213421047E-2,6.870874500E-2
1.591588489E0,-1.865881495E-2,4.032816738E-2,6.556954235E-2,7.920781113E-2
1.601661771E0,-3.215290606E-2,2.779601701E-2,6.423983723E-2,7.702716804E-2
1.611735104E0,-1.695756428E-2,5.746084079E-2,7.489944249E-2,9.591263575E-2
1.621782396E0,3.659063578E-2,7.170052081E-2,8.776703477E-2,1.190919464E-1
1.631855729E0,4.335454106E-2,6.063482165E-2,8.467660099E-2,1.128110127E-1
1.641929062E0,1.262203557E-3,4.745008424E-2,5.691133812E-2,7.410805664E-2
1.652029791E0,1.000045566E-3,3.959826753E-2,1.043693200E-1,1.116332291E-1
1.662103073E0,1.457012352E-2,8.077188581E-2,7.674996555E-2,1.123696723E-1
1.672176406E0,1.247636694E-2,8.088827133E-2,6.299743056E-2,1.032823723E-1
1.682240573E0,2.599559166E-2,5.384875461E-2,7.637544721E-2,9.699828914E-2
1.692313906E0,4.605397210E-2,9.641317278E-2,1.015814841E-1,1.474288511E-1
1.702387187E0,-7.887610234E-3,8.282857388E-2,7.429631799E-2,1.115469852E-1
1.712459062E0,-5.276267231E-2,8.515959233E-2,9.865773469E-2,1.406037139E-1
1.722532343E0,-6.554949284E-2,5.777840689E-2,1.260655224E-1,1.533870798E-1
1.732605677E0,-3.267985210E-2,2.196680196E-2,9.267970920E-2,1.006977736E-1
1.742661093E0,-1.914630644E-2,2.094926499E-2,6.667269766E-2,7.246172347E-2
1.752734427E0,-1.655629091E-2,5.602016300E-2,-8.029719815E-3,5.896478467E-2
1.762807760E0,-3.029149584E-2,4.128501564E-2,-8.839675039E-2,1.021568046E-1
1.772875156E0,-5.004096031E-2,5.649401248E-2,-1.010028943E-1,1.260843203E-1
1.782948489E0,3.783428343E-3,7.050590962E-2,-6.061777845E-2,9.305865186E-2
1.793021771E0,1.395392697E-2,7.010355592E-2,3.522095084E-2,7.968523081E-2
1.803106875E0,2.624478005E-2,5.769859999E-2,1.018421054E-1,1.199572063E-1
1.813180208E0,2.188980021E-2,4.103478789E-2,1.570808291E-1,1.638212564E-1
1.823253489E0,2.165628225E-2,8.249105513E-2,1.972177923E-1,2.148688584E-1
1.833330364E0,1.926383562E-2,1.133388504E-1,1.383636594E-1,1.798924474E-1
1.843403698E0,2.032795735E-2,1.268311739E-1,9.765557945E-2,1.613567003E-1
1.853477031E0,3.066212125E-2,1.094898358E-1,4.770488292E-2,1.233042809E-1
1.863596927E0,1.813220046E-2,5.457283556E-2,7.369236555E-3,5.797651872E-2
1.873670208E0,-7.149761543E-3,6.547643244E-2,2.428535372E-2,7.020014744E-2
1.883743489E0,-2.073971368E-2,7.879167795E-2,-2.584158210E-3,8.151651435E-2
1.893787083E0,-1.880523935E-2,3.656478226E-2,1.269217860E-2,4.303152015E-2
1.903860416E0,2.096800879E-2,2.313231118E-2,1.078101471E-1,1.122398727E-1
1.913933698E0,5.281513929E-2,4.294516146E-2,1.139365733E-1,1.327225247E-1
1.923990885E0,6.627503037E-2,2.928241715E-2,1.139893606E-1,1.350681826E-1
1.934064218E0,5.784389004E-2,4.955664650E-2,1.332015842E-1,1.534419723E-1
1.944137500E0,3.136804327E-2,7.609570771E-2,7.956647128E-2,1.144785317E-1
1.954240937E0,-3.080868721E-2,5.681324005E-2,-8.938768879E-3,6.524431808E-2
1.964314218E0,-4.370159656E-2,5.569927394E-2,-6.206967682E-2,9.415350997E-2
1.974387552E0,-2.530161478E-2,7.248944044E-2,-6.299369037E-2,9.931311954E-2
1.984464062E0,-2.475245669E-2,8.585374802E-2,-8.992388844E-2,1.267669353E-1
1.994537343E0,-2.089198120E-2,5.160917714E-2,-5.414802954E-2,7.766589436E-2
2.004610677E0,-2.061754838E-2,6.602510065E-2,5.384252220E-2,8.765508778E-2
2.014664166E0,-1.743307337E-2,6.876596063E-2,7.772468030E-2,1.052321021E-1
2.024737500E0,1.003499981E-2,6.958564371E-2,1.720670462E-1,1.858761184E-1
2.034810781E0,2.057024091E-2,1.069127470E-1,2.142694145E-1,2.403431969E-1
2.044887552E0,-1.994564012E-2,7.960221916E-2,1.734919250E-1,1.919213117E-1
